Lambda,β-0,β-1,β-2,E
1e-05,0.0,0.19999997154809535,0.39999994286336005,2.8518669630689386e-13
-1e-05,0.0,0.20000002859160304,0.40000005706679076,2.8518669630689386e-13
0.0001,0.0,0.19999971431388985,0.39999942856957205,2.8570450079091055e-11
-0.0001,0.0,0.20000028572394513,0.4000005714260624,2.8571614224233102e-11
0.001,0.0,0.19999714289951953,0.3999942857963106,2.8570602871788806e-09
-0.001,0.0,0.20000285718379018,0.40000571436758037,2.857224723810825e-09
0.01,0.0,0.1999714326520916,0.39994286530486534,2.8563267282551027e-07
-0.01,0.0,0.20002857551048692,0.4000571510214286,2.8579593349425987e-07
0.1,0.0,0.19971469329530578,0.39942938659058314,2.848997051248699e-05
-0.1,0.0,0.20028612303292448,0.4005722460658063,2.86532364860504e-05
